date,county,state,fips,county2,cases,deaths
2020-07-27,Autauga,Alabama,1,1,965,21
2020-07-27,Baldwin,Alabama,1,3,2770,18
2020-07-27,Barbour,Alabama,1,5,569,4
2020-07-27,Bibb,Alabama,1,7,334,2
2020-07-27,Blount,Alabama,1,9,669,1
2020-07-27,Bullock,Alabama,1,11,416,12
2020-07-27,Butler,Alabama,1,13,730,36
2020-07-27,Calhoun,Alabama,1,15,1194,6
2020-07-27,Chambers,Alabama,1,17,825,38
2020-07-27,Cherokee,Alabama,1,19,220,8
2020-07-27,Chilton,Alabama,1,21,629,6
2020-07-27,Choctaw,Alabama,1,23,266,12
2020-07-27,Clarke,Alabama,1,25,453,9
2020-07-27,Clay,Alabama,1,27,178,4
2020-07-27,Cleburne,Alabama,1,29,101,1
2020-07-27,Coffee,Alabama,1,31,665,5
2020-07-27,Colbert,Alabama,1,33,936,11
2020-07-27,Conecuh,Alabama,1,35,348,9
2020-07-27,Coosa,Alabama,1,37,90,2
2020-07-27,Covington,Alabama,1,39,720,20
2020-07-27,Crenshaw,Alabama,1,41,237,4
2020-07-27,Cullman,Alabama,1,43,1015,9
2020-07-27,Dale,Alabama,1,45,717,17
2020-07-27,Dallas,Alabama,1,47,1271,21
2020-07-27,DeKalb,Alabama,1,49,1522,10
2020-07-27,Elmore,Alabama,1,51,1517,34
2020-07-27,Escambia,Alabama,1,53,893,15
2020-07-27,Etowah,Alabama,1,55,1729,17
2020-07-27,Fayette,Alabama,1,57,151,5
2020-07-27,Franklin,Alabama,1,59,1110,20
2020-07-27,Geneva,Alabama,1,61,198,1
2020-07-27,Greene,Alabama,1,63,237,11
2020-07-27,Hale,Alabama,1,65,436,23
2020-07-27,Henry,Alabama,1,67,234,4
2020-07-27,Houston,Alabama,1,69,1168,14
2020-07-27,Jackson,Alabama,1,71,665,5
2020-07-27,Jefferson,Alabama,1,73,10567,205
2020-07-27,Lamar,Alabama,1,75,171,1
2020-07-27,Lauderdale,Alabama,1,77,922,9
2020-07-27,Lawrence,Alabama,1,79,258,0
2020-07-27,Lee,Alabama,1,81,2412,43
2020-07-27,Limestone,Alabama,1,83,1048,11
2020-07-27,Lowndes,Alabama,1,85,548,26
2020-07-27,Macon,Alabama,1,87,298,12
2020-07-27,Madison,Alabama,1,89,4403,25
2020-07-27,Marengo,Alabama,1,91,488,13
2020-07-27,Marion,Alabama,1,93,504,24
2020-07-27,Marshall,Alabama,1,95,2751,26
2020-07-27,Mobile,Alabama,1,97,7394,181
